,tokens,labels
69,"IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT IN SOME CASS , COSTS MORE THAN THEY DESERVE TO PAY .",1
70,To Mr. Robertson I am writing to tell you something about the three-day trip to London .,0
71,I have seen your programme for the trip and I think it is going to be a great trip .,0
72,Thank you very much for organising this trip and putting all your spare time and effort into it .,0
73,"Personally , I enjoy looking and learning about new inventions and all the science .",1
74,That is why I think the trip to the science museum is a good idea .,0
75,"However , my class and I have seen an advertisement about a fashion and leisure show .",1
76,We are attracted to this show and would like to go .,0
77,"Unfortunately , it is on 14th March , which is the day we will be visiting the science museum .",0
78,This show is on the 14th March .,0
79,It is in the Central Exhibition Hall and will start and ten o'clock and finish at five o'clock in the evening .,1
80,"Apparently , this show is free to all students , which means if we went , the cost of the trip will be cut down .",1
81,I think it is a great opportunity because it is based on fashion .,0
82,We like to keep up with the rage but I think it will help those who want to become a fashion designer later on .,1
83,I have a suggestion on how the programme could be changed .,0
84,The shopping time could be after the show and the free time exchanged for the science museum .,0
85,"If we go to the show , we can do without the free time .",0
86,Please give this your careful consideration. .,0
87,"Yours sincerely , In a country like the UK , we are all bound to have houses .",0
88,"We either own it , or we simply borrow it from other people .",0
89,We take our homes for granted .,0
90,Think about the people in the poor countries !,0
91,They struggle to survive .,0
92,"However , as we approach the future , our homes will start to change .",0
93,Have you ever thought about how the changes will affect our lives ?,0
94,I doubt it .,0
95,"There will be lots of differences in our homes of the future from our homes now , but there may also be a lot of similarities .",0
96,"For one , the future homes might not be built out of bricks at all !",1
97,"It may be built out of a stronger substance or a more attractive one , such as glass .",0
98,Non-breakable glass .,0
99,"Also , due to global warming , sea levels might rise and risk of flooding will also rise .",1
100,"Therefore , houses will be built on high supports .",0
101,"All domestic appliances such as showers , kettles , lights , TV and curtains may be voice activated .",0
102,Incredibly high security will prevent robbery .,0
103,"The future homes will also have many similarities , such as having a separate bathroom , and not having one in a bedroom , or having two floors or having garages .",0
104,It has been a pleasure sharing my thoughts with you .,0
105,What do you think will happen in the future ?,0
106,"Dear Mrs. Jane Clark , Recently I was at the annual international arts festival , that you organized .",1
107,I 'm writing this letter to thank you for giving a possibility to know more about modern art .,1
108,"I think , it is a wonderful idea to organize such festivals each year , because it is very interesting to learn some news about life in other countries .",1
109,"Unfortunately , only six countries were represented this year at the festival , but I hope that soon there would be much more of them .",1
110,"I extremely liked all concerts , shows , exhibitions , but why there were n't any photograph exhibitions ?",1
111,"I think , you should make some next year .",1
112,"Then , I want to mark , that concert halls were too small , that is why they were overcrowded during some concerts .",1
113,"Then , I want to say , that plays and films were exellent , but it was n't enough of them for me .",1
114,May be you should make more next year ?,1
115,"And at the end , my opinion is that one weekend ticket for all events is a great idea , because you do n't have to stay in queues to buy a ticket for a show , you want to go to .",1
116,"Yours sincerely , Dear Lucia , I was very pleased to receive your letter .",0
117,"You asked , if there are some school rules in my country .",1
118,"As you know , I 'm studying at the private Academy , so the rules in my institute are different from the rules in state institutes .",1
119,I 'll give you an example .,0
120,In our Acadamy we are not allowed to smoke .,1
121,The fine for smoking on the Academy is territory is 100 dollars .,1
122,So nobody smokes there .,0
123,"I do n't smoke , so I do n't care about this rule .",0
124,But some of my friends really would like to change it .,0
125,You also wanted to know about what I 'm allowed or not allowed to do at home .,0
126,"Well , I have rather modern parents , so they do n't prohibit me to go to the discoes or somewhere with my friends .",1
127,The only rule for me at home is to walk out with my dog three times a day .,1
128,I hope it was interesting for you to know about the rules in my life .,0
129,"Look forward to hearing from you , Dear Sir/Madam , I was to Circle Theatre to watch ' Over the rainbow ' musical show , recently .",1
130,I was trully dissapointed by it .,1
131,My expectations were high after I 've read your leaflet in which it was advertised as ' London 's newest and best musical show ' .,1
132,"Now , I can assure you it was n't .",0
133,"Firstly , it was Danny Brook who was supposed to star .",0
134,The substitute was far worse .,0
135,"Secondly , I had to wait fourty-five minutes before the show finally began .",1
136,Another unkept promise are the discounts .,1
137,There were n't any !,0
138,"Lastly , when I got hungry after the delay it appeared that the theatre restaurant is closed .",1
139,You can believe me it was n't ' my perfect evening out ' and I have no other choice than asking to give my money back .,1
140,I paid for something I did n't get so it is obvious that I want my money back .,0
141,I got the £ 15 ticket .,0
142,"I 'd like you to send the money to this adress ; ul Taklowa 10 Skoclow 43-430 POLAND Yours sincerely , Unfortunately , Pat was n't very good at keeping secrets .",1
143,After two days the whole school knew .,1
144,"When Paul entered the school gate , other children began to tease him and laugh .",0
145,Paul could n't stand it .,0
146,"He ran out quickly , leaving everyone behind .",0
147,He felt very ashamed and did n't know what to do .,0
148,"Normally , he would go and talk to Pat but Pat betrayed him .",0
149,They were no longer friends .,0
150,"' How could he , ' Paul thought ' Now the whole school knows Jean attracts me ' .",0
151,"As he was sitting there , he heard someone walking towards him .",0
152,He turned around and saw ... Jean .,0
153,"' What are you dong here , why are n't you at school ?",1
154,' she asked .,0
155,Paul was like paralyzed .,1
156,He could n't reply .,0
157,"I had heard what you 've said about me , she said , I think it 's sweet .",1
158,Paul could n't believe his ears .,0
159,"While he was thinking how to reply , Jean took his hand and led him to the school .",0
160,When they entered everyone became silent .,0
161,All the children were staring at them and Paul thought that Pat is n't that bad at all .,1
162,Cambridge 13.06.00 Dear Helen Ryan Competition Organiser I am glad to know about the news that I have received .,1
163,It is a dream becames true and was really unexpected for me !,1
164,I would like to travel on July because of it is more suitable for me .,1
165,I think I will really enjoy if I could stay in tents it is going to be a new experience and looks exciting .,1
166,"About the activities while at the Camp I would like to enjoy swimming , not because I am good in it , just because I keen on and the other one is Photography .",1
167,As I never did this in whole my life could you tell me if we have to do our own meals or I can find everything ready to eat there ?,1
168,"If no , what do you sugest ?",1
169,The same question for clothes and money .,0
170,How much I have to get in my pocket ?,1
171,I hope has had your questions out of your mind .,1
172,"Yours sincerely Cambridge 13.06.00 Dear friend Kim Last month , I enjoyed to help at a pop concert in Portugal .",1
173,Everything were new for me .,1
174,I had to ( lyd ) tidy up the place where they have to wait until their turn .,1
175,The group asked me make sure that in the fridge they always could find a big variety of drinks including honey and lemon for throat .,1
176,"Other thing I had to do is keep an eye in the towels , I mean , dried towels because as you know that country is too hot , especially for my liking , as they have to change the clothes and looks fresh ; do n't ask me why .",1
177,"The pop concert happened in a big stadium called "" Mararcanã "" .",1
178,I just did not enjoyed when they were making the instruments work for the big day .,1
179,But what I particularly liked was see and ask autographs from the rest of the others groups .,1
180,"Do n't be jealous , I will make a copy for you , OK ?",0
181,Love Dear Ms Jane Clark .,0
182,I am writing to you with regard to the International Art Festival that was held recently .,0
183,"The festival was excenent in many ways , and especially it being an international festival was a challenging , but brilliant idea .",1
184,I assume that this fact attracted people very much .,0
185,"In addition to that , organising one weekend with special price tickets was particularly good .",0
186,I personally think that it helped many people who were not able to afford the tickets with proper price to come to the festival .,1
187,"Moreover , most of the events I went to were fantastic .",0
188,"However , I still have some comments to make to improve the festival next year .",0
189,"The festival was supposed to be an international one , but the artists and stars participated in it were from six countries only .",1
190,"Thus , I recommend that stars and artists of various nationalities should be invited .",0
191,"Also , some of the concert halls where the musicians performed were not big enough for the vast number of audiences .",1
192,I think it would be much better to use bigger concert halls .,0
193,"Furthermore , I found that there were not many genres of neither the films nor the plays .",1
194,"So I suggest you have various kinds , and more numbers of plays and films next year .",1
195,I hope that next year 's festival will be much more successful that this year 's one .,1
196,"Yours sincerely , The Old Man and the Sea People all have different opinions about books .",0
197,Some prefer realistic stories whereas others do unusual ones .,1
198,"But I prefer realistic stories such as Ernest Hemingway 's "" The Old Man and the Sea ' .",0
199,"Above all , realistic stories teach me something of the life , or at least influence me .",1
200,"As far as I 'm concerned , my behaviour and attitudes towards a difficult situation began to change after reading this book .",0
201,"Here , the fishman is very old , but he is still challenging to everything he faces .",1
202,"When he caught a shark which was bigger than the ship , he never gave up taking it back to his village , even when sharks were around him .",1
203,"Real stories have huge impacts on me , and affect me a lot , often in good ways .",0
204,"In addition to that , realistic stories are more attractive , I personally do n't want to hear stories about very peculiar incidents as I know they cannot be true .",0
205,"But , while reading realistic stories , I just fall deep into the story , into the writer 's own world .",0
206,"Ernest Hemingway 's sentences are precise , but still very powerful and alive .",0
207,"So when I read other sharks eating the shark the old man had caught , I got very angry and annoyed .",1
208,"Realistic stories thus , develop our imagination and creativity , which are essential in our lives .",0
209,"We all learn from reading books , but realistic stories have more influence on me and develop my personality .",0
210,That 's why I prefer realistic stories to unusual ones .,0
211,"17th June 2000 Dear Sir , I would like to complain about a musical show .",0
212,I was very disappointing a week holiday for me because I had got a lot of problem with the show .,1
213,"I had seen the advertisement that the actors were Danny Brook and Tina Truelove , but it was not Danny Brook .",1
214,I was really disappointing because he is my famous actor .,1
215,"The musical should started at 19.30 , but it started at 20.15 .",1
216,When I went to asked for the discount of ticket in the cashier desk they told me no discount available for this .,1
217,I had seen the advertisement say that discount available .,1
218,"After the show I decide to had dinner in your theatre restaurant , but I could n't because it closed .",1
219,It closed at 10 pm but the show finished at 10.30 pm .,0
220,"This was not perfect evening for me , so if you do n't give my money back , I will tell to the newspaper about it .",1
221,I am looking forward to hear a good new .,1
222,"Yours sincerely , Boo Sersuwan .",1
223,I think in the next 100 years people will wear the space clothes with small engine in the back. because of the atmosphere .,1
224,The atmosphere in the earth now starting badly every years .,1
225,"The carbon dioxide are growing very fast and people cut more trees , therefore not enough trees to such carbon dioxide and produce oxygen .",1
226,The designer will have a lot of idea for how to make very nice and useful clothes .,1
227,"I think if we wear this clothes we will travel to every where easier than we use cars , ships , planes and space ships .",1
228,"This mean the engineering will find the way to useless petrol for it , so it must useful in the future .",1
229,I think somebody will make a very big area to grow plant because they can sell the oxygen .,1
230,This is a new business .,1
231,"I think I can win this price , because this clothe will produce in the future soon .",1
232,17/06/00 mr. MANAGER MY NAME JAMES CAMIREZ AND I'AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLEINTS FOR THE DISAPPOINTING EVENING I HAD LAST NIGHT .,1
233,"FIRST OF ALL ON THE ADVERTISEMENT FOR THE SHOW IT SAYS THAT THE ACTOR WAS GOING TO BE DANNY BROOK AND INSTEAD OF HIM WAS A TOTALLY UNKNOWN CLOWN THAT HAD NO IDEA OF HOW TO ACT , IT WAS HORRIBLY DISAPPOINTING !",1
234,"SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY APPEARS THAT THE SHOW STARTS AT 19.30 , AND I GOT HEAVILY MAD WHEN I LOOK MY WATCH AND NOTICE THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW DID N'T START YET ... I MEAN I WAS AMAIZING !",1
235,"THEN I READ ON THE ADVERTISEMENT , DISCOUNTS AVAILABLE , AND I DID N'T GOT ANY DISCOUNTS WHEN I ASKED FOR THEM .",1
236,"AFTER THE SHOW I GOT OUT THE SHOW ROOM DEEPLY DISAPPOINTED AND WENT TO THE RESTAURANT TO DRINK SOMETHING TO RELAX , AND DO YOU KNOW WHAT ?",1
237,.,0
238,.,0
239,IT WAS CLOSED !,0
240,I COULD N'T BELIVE IT HOW THIS CLASS OF THEATRE CAN BE SO .,1
241,.,0
242,"OH I 'M GETING MAD AGAIN SO I'AM GOING TO TELL YOU THE LAST THING , IT WAS THE HORRIBLE NIGHT I HAD EVER GOT SO I DEMEND FOR MY MONEY BACK !",1
243,I THINK THAT MODERN TECHNOLOGY HAS AFFECTED ALL THE HUMAN BEINGS .,1
244,"MODERN TECHNOLOGY HAS AFFECT ME IN SEVERAL WAYS , I MEAN THE MORE THE TECHNOLOGY MODERNIZES ; MORE CONFORTNESSCOMFORTABLE WE GET .",1
245,"NOW WITH MODERN MACHINES I CAN MAKE A BETTER USE OF MY TIME , IF I'AM LATE TO GO TO TRAINING AND I HAD N'T IT YET I JUST TAKE MY FOOD AND PUT IT IN THE MICROWAVEOVEN .",1
246,"ANOTHER EXAMPLE IS THE COMPUTERS , I THINK THEY ARE ONE OF THE MOST ADVANCED MACHINE IN THE WORLD , YOU CAN LIVE YOUR ENTIRE LIFE IN A HOUSE WITHOUT GOING OUT , BY JUST USING THE INTERNET , IT HAS ALSO HELPED ME IN MY SCHOOL HOMEWORK , I MEAN IT 'S INCREDIBLE THE TIME YOU WAIST BY MAKING THING WITHOUT A COMPUTER .",1
247,"BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PACIVE PERSON AND NOT SO ACTIVE , THIS CAN BE BAD TO BECAUSE IF I GET USED TO BE CONFORTABLE WHEN I NEED TO DO HARD WORKS I WO N'T BE ABLE TO DO THEM .",1
248,"1th , June , 2000 Dear Ms Ryan , I am writing to reply your letter and I am so glad to win the prize .",1
249,Thank you very much !,0
250,In answer your questions : I would like to travel in July .,1
251,"I am a full-time student , my summer holidays begin at the end of June and I have planned to work on my grandfather 's farm in August .",0
252,So July is the only time I will be free .,0
253,"Secondly , I would prefer tents to log cabins .",0
254,Camping is my enthusiasm and I sleep in tents every time I go camping .,1
255,"Therefore , I am afraid I ca n't get used to log cabins easily .",0
256,"Besides camping , I also like painting .",0
257,"My Dad is an amateur painter , and I have begun painting for 8 years .",1
258,I 'm good at portraits and landscapes .,0
259,"I would also like to play golf during my holiday , but I have never played it before , will I get any tuition ?",1
260,"Finally , I should like to ask some questions .",0
261,How is the weather like in California in July ?,1
262,What kind of clothes should I pack ?,0
263,"If I want to buy some gifts , how much money should I take and can I use traveller 's cheques in every place ?",0
264,I am looking forward to hearing from you .,0
265,"Yours sincerely , Shopping is not always enjoyable Our lives are getting better and better , so people began to go shopping more frequently .",1
266,"It 's always a great job to go home with bags of purchases , but is it doing us good apart from the temporary satisfaction ?",1
267,"Everyone likes sale , but those so-called sale items are not really of value .",1
268,"In fashion industry , sale begins at the end of each season and just lasts a short time , because those owners want to make room for new stock .",1
269,But you 'll find your ' cool bargain ' soon get out of date and you have to keep buying new ones .,1
270,Also supermarket owners have put in a vast amount of money to find out the best way to place goods in order to get the most profit .,1
271,"Therefore , we become impulsive buyers easily under these tricks .",1
272,"The result , we feel guilty after spending more than we 've estimated , or even suffer from financial difficulty .",1
273,"Shopping does not just effect us mentally , but also physically .",1
274,It 's not hard to realise how exhausted we are after a day of shopping .,0
275,"Think of the awful crowds , the busy car parks , polluted air in the city centres and mile-long queues in front of the cash desks .",0
276,I do n't think anyone would really like to face them .,1
277,"But once you get there , they 're just inevitable , are n't they ?",0
278,"Well , now before you go shopping , think again and you 'll find out it wo n't be always enjoyable .",1
279,"Dear Manager , I 'm a person , went to see the musical show , I would like to know something about "" Over the rainbow "" programme ?",1
280,"You have informed the actor , times , discount and the restaurant to people , but actually what did you do ?",1
281,"The first , you have changed the actor .",1
282,"The second , the time is late from 19.30 , it started 20.15 .",1
283,"The third , the tickets have not the discount .",1
284,"The last , after show , I could n't go to the restaurant , because it was closed .",1
285,What 's happened ?,0
286,"This is the good theatre do , or not ?",1
287,This is the famous theatre .,1
288,"You know , What did people feel ?",1
289,"Everybody attented go to the show , funny , and happ in the end , and what have we go then ?",1
290,Disapponted !,1
291,Thank about that .,1
292,"If you can not managed the programe , why did you informe people before programe start ?",1
293,"I tought you inderstood ; please send money back to me , you know why , do n't answer me ?",1
294,"Thank you , Now we know , our world have developed to new world , becase we have high technology to do .",1
295,"If we came back to the past , we felt everything , it was so difficult to do , we would have plane and done by ourself and last time .",1
296,"In the present , the teachnology is a past of life .",1
297,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .",1
298,"While we worked at the office , there are the computer and equipment for help to work and easy , after we have finished work , we come back home , there are television for get information , news , data by different way and quickly .",1
299,How has modern technology changed your daily life ?,1
300,"We appreciated the mordern technology changed my daily life for help every easy and quickly , we have time to do many things .",1
301,"Dear Mr Robertson , Regarding the programme you have organised , it is great ideas everything that you have planed , but I would like to suggest to you something that the students saw in an advertisement .",1
302,"It is good start to go on sightseeing by bus on Monday morning , we can se all famous buildings in a few hours .",1
303,It 's seems relaxing to go to Greenwich in the afternoon looking though the river .,1
304,"The idea about going to science museum is fantastic , I read about the museum , it is really interesting in science history .",1
305,"After all morning in the Museum , it is wonderful and on tuesday doing some shops , whereas the student have another idea for tuesday .",1
306,"On Wednesday after viseted national Art Gallery , we can have a chat about ours next holiday at the free time in the afternoon .",1
307,"The advertisement that students saw is about a fashion show , but to go to the show you will need cancel the tour on tuesday and add the show , because the show is from 10.00 to 19.00 .",1
308,I look forward to hearing from you .,0
309,"Yours faithfully , Freedom !",1
310,Nowadays the main attroction in the newspapers and television is private life of famous people .,1
311,It is really interesting how people like knowing famous people life .,1
312,"Without someone famous know , photographs take pictures secretly , try to get money on it .",1
313,"Sometimes being famous can get stress , everywhere they go there are people around them , especially journalists , trying to ask millions questions .",1
314,"Famous people deserve to have freedom to do whatever they want , but it is quite difficult to do thing in a public places , because nobody like famous politicians or film stars without asking questions .",1
315,"On the whole , to be rich and famous do n't always bring happeness , whereas the majority of the population wish they were rich and famous .",1
316,"Dear Sir or Madam I am writing to complain about the musical show "" Over the rainbow "" which was performed in your theatre two weeks ago .",1
317,I went to see it on 5th June 2000 .,0
318,First of all that evening there was not Danny Brook but an unknown and not very good actor .,1
319,Secondly the show started 45 minutes late .,0
320,Then at the tickets-office I was said that no discounts were available so I had to pay the full prize despite I am a student .,1
321,"Finally I would have had dinner at the theatre restaurant if it had not been already closed because the show finished , obviously , late .",1
322,I am really not satisfied with the show-organization particularly because in the advertisement you wrote something different .,1
323,For this reason I expect to receive my money back .,0
324,"Yours faithfully Unfortunately , Pat was n't good at keeping secret .",1
325,Last week we had another demostration of this .,1
326,On Monday we decided to organize a surprise-party for Ted 's birthday on Tuesday evening .,1
327,Each of us had a different task .,0
328,"Anna prepared the cake , Peter organized the music , Heather and I went to buy the present ; Pat said : "" OK I 'll phone to some of Ted 's friends to invite them "" .",1
329,"Obviously Ted should have known nothing about it and we remembered it to Pat twice : "" the party is a secret !",1
330,!,0
331,""" and she said : "" Yes , it must be a surprise !",0
332,""" On Tuesday afternoon we met to prepare the last details ; Pat said : "" I 've just phoned to Tommy , Billy and Alison and I met Ted yesterday evening : they all have said ok for the party. .",1
333,""" In that moment she understood that something was wrong !",1
334,"Dear Mr Robertson , Thank you for organising good programme , especially like sightseeing from River trip to Greenwich in London for three days .",1
335,I am writing on behalf of my classmates to give the information of ' The London Fashion And Leisure Show ' which we would like to go and to huggest our opinion .,1
336,We have seen an advertisement of last Saturday The Times ' edition of the show .,1
337,"It will be held in Central Exhibition Hall , London or Tuesday March 14 from 10.00 to 19.00 .",1
338,"Firstly , it will introduce latest fashions connecting Millenium .",1
339,"Secondly , we will be able to see leisure and sports wear about fashion trend of next year .",1
340,It would be fantastic opportunity to the students who study a fashion .,1
341,"Finally , we can see how to make up and make better hairstyle in the show .",1
342,"Most of all , It is free for students to enter .",1
343,We would like to know if it is possible to change your programme .,0
344,We would be grateful if we could go there in the afternoon on 14 March because we are able to go shopping .,0
345,We look forward to hearing from you .,0
346,"Yours Sincerely , It was dangerous , but I knew I had to do it .",0
347,"Whenever I recollet it , I feel self-confident .",1
348,"When I was twenty years old , I had to go to Army .",1
349,"As you know , my country has been separated into two countries ( South and North Korea ) .",0
350,"However , instead of going to Army , I was able to apply to Korea Auxiliary Police .",1
351,"One year later , I was working in Kang-nam police station in Seoul .",0
352,"Suddenly , the theft signal came into .",1
353,"So , another policeman and I had to arrive at the accident place quickly .",0
354,"When we arrived at the place which it happened , one man started running away .",1
355,"Without any thought , I ran quickly like a swallow .",0
356,"Then , he tried to go over the wall , I held his leg .",0
357,He fell down and we had to stare at each other .,0
358,"After we fought for a minute , I was able to arrest him .",0
359,"As a result , I could go on vacation .",0
360,"When I said to my mother , she asked me not to do it again .",1
361,"But , I was a police-man .",1
362,"Therefore , I had to do it in spite of it being dangerous .",0
363,"Dear Competition Organiser , I am writing to replay your letter and to ask more details about the competition .",1
364,"Firstly , I would like to say that I 'm very glad to have been choosen and I will do my best for this competition .",1
365,"As you asked in the letter , I would like to travel only on july because I work at the central library and I 'm also having English classes , so I will just have holidays on July .",1
366,Is it suitable for you ?,1
367,"As you mentioned about the accomodation , I would prefer stay in the tents , because it 's more exciting and I really love camping .",1
368,I examined all the activities that you listed and I was disappointed to have to chose just two of them because in my opinion I 'm good in almost of this activities .,1
369,"However , I would choose sailing because I am facinating with the sea and it 's misteries and I also like the watter , the wind in my face ... The other one I would choose is basketball becouse I 'm tall and very fast with the ball .",1
370,"Finally I would like to know what kind of clothes are we supposed to wear there , and about the money we are supposed to pay for food and things like that .",1
371,I 'm looking forward to receiving your prompt replay .,1
372,"sincerely Clara Dear Kim , I am writing to tell you some news and to ask a little bit about you .",0
373,"First of all , I 'm going to tell the good news .",0
374,"Last month , I went to a pop concert with four bands .",1
375,It was unbelivebly !,1
376,!,0
377,!,0
378,"Although it was 5.000 thousand people there , people could walk and dance without any problem .",1
379,"It was very well organised , the shows started in the exactly time and the group were well performed too .",1
380,I have contributed to the concert selling some tickets to my friends .,1
381,"However the success of the concert , at the end of show some full gays started a big confusion and some people get hurt .",1
382,"It was depressing ... Finally , I would like to know some news about you , What have you done ?",1
383,Be you studing a lot ?,1
384,Please write me a letter as soon as possible !,0
385,Love from Clara .,0
386,Dear Helen Ryan ; I have just received your letter which is made me so hapy .,1
387,"I can not belive that I won first prize in your competition , because I always belived I am an unluky man and now I think somethings are changing in my life .",1
388,"I would like to come in July , because I am studying English and we have one month break at July , so please make my log cabin ready by july .",1
389,I prefer stay in cabin because I have some experience with tents from my childhood and it was not very good experience therefore I would like to stay in cabin .,1
390,You saying in your letter I could do two activities from the list which is show many exciting activities .,1
391,I will definitly chose Basketball and Swimming wich are the my dream sport .,1
392,I used to be play in school team when I was in high school and our team was the one of the best Basketball team in all county and I also very good at swim .,1
393,"I would like to ask a few things , specialy wheather : how is the weather in July in the U.S.A. What kind of clothes I will need and how much money I should take with me , Because I have never been U.S.A. before and I do n't know anything I am looking forward to your reply letter .",1
394,"Your sincerely I have never enjoyed doing shopping , but nowday some people are calling shopcholic .",1
