,essays,scores
480," Dear Sir, I am from Brazil and I recently expent a holiday in London. During my stay I read an advertisement of a musical show being held at The Circle Theatre. As I was reading the advertisement I got very excited, because I am a great fan of Danny Brook, and he was going to be performing in the play. As I got to the theatre I asked for the discounts shown in your advertisement, but they were not avaible. Anyway, I decided to buy my ticket, since I thought the play was going to be good. So I sitted in my chair and waited for 45 minutes until the show started, that is an unacceptable delay. Even though I was still excited about the show, but then I sudently realise that Danny Brook is not performing, he had been replaced by an extremely disappointing actor. The night had been terrible, but it could be saved by a nice dinner in your restaurant, but it been closed because the heater was not working due to  leaking. As you can see it was not the perfect evening out your advertisement talked about. Then, I would be glad if you could have  my money back. Yours faithfully,  [SEP]  How has modern technology changed your daily lief. Modern technology has brought  many discoveries which have made our daily lives much easier. For example,  internet has given us the possibility of acessing reliable information very fast. I guess science is about solving our daily problems with technological advances. That is exactly what happens to me. When I was younger I remember that when I had to study or to work on a school project I would take a lot of time researching on libraries, looking for old books. Today I can connect to the Internet and find all the information I need faster than you can imagine. But technology is not just about studying, it is entertainment too! I can watch pay-per-view films without having to go out to rent one. I can also listen to cds, play the latest games, watching concerts.. everything in a zap. You also have fast food, or food made in the microwave within a few minutes. As you can see, technology is about saving our time, so we may have more time to do what we like. In my opinion, technology is making my life much better because of that. ",32.0
884," Dear Sir/Madam. Firstly, I would like to say that I am surprise to received the letter from you. I read the information as you gave to me, it is very interesting. It is very good due. According to Camp California in the U.S.A. I expect to traveling on July because I will have a long holiday break on that time and my children have to go to France with student's school on July as well. I think, it will be  very good time to traveling by without worries. How is about an accommodation. I prefer to live in tents because I feel very natural. Can you imagine how exsiting  when we stay in the dark and very quite and we can hear a sound of  animal. How's amazing that? When I arrived there, I would  to  painting and take a photography  because both of its was my hobby. I have been doing a lot of them when I have got a free time and when I feel empressted  where I have been. I think I can do it very well. Fainally I would like to ask you about I have to spent any money over there without my shopping and how is the weather over there on July because I will prepare the clothes as usedful. By the way I have to say thank you very much for everything that you was offer me and I look forward  the further information from you. your sincerely ZITA ZALAI  [SEP]  Dear Kim, How are you? It was  very long time as I didn't write the letter to you. I hope, you will feel better when you finished my letter. Today I  going to write about the experience of helping at a pop concert as I went from last month, it has got a lot of thing to talk about. Firstly it is about the hall which they used for  concert. It is  very big hall including the sound system and the light at the steat. It was brillian. Secondly it is the super star as they came to show at  concert. They are very cool. By the way I had done many thing in that concert. I had to connect with people who  responsible about  ticket. They had to check when people came in the hall and I was the one who checking the tickets as well. You know, you have to very strongly when you have to do that because when people came in they couldn't weait to go at  frount and they are try to go over very quickly. So you have to explaining too many time to make people clamed down and standed in the row. It was very hard for me and I won't do it again. In the further more if you want to go there. miss you, ",19.0
667," Dear the competition organiser (Helen Ryan) I'm as happy to heard that I have won the first prize. Here is the information you want from me.  Firstly, I can only go in July. Because I'm in the holiday  that moment. I think I would prefer the accommodation at Camp California is in tents. Because it is more safety, and I don't like to be in the log cabins. The activities are quite hard to choose really, because you have a lot of chose which is I like. But I think I will choose Basketball and Photography, because basketball is the only sport I can play well. Photography is a very interesting activitie, and is not too hard to do too. Here  have some questions which I would like to ask, what kind of clothes sould I need? How much did I need for the Camp? Finally I hope the information I've gave are useful for you, and hope you can answers my questions A.S.A.P. Yours Sincerely  [SEP]  Shopping is not always enjoyable  Shopping, for most the people it is very important because you need to get the stuff you need or you want. For some people it may be a method to relax themselves, after you have been to work or school. So it is a thing you will enjoy most of the time, but still have something you will not enjoy it. It depends on what is the place and the aim you are shopping. For example some people always shopping to get food or stuff the need in everyday life, they won't enjoy this kind of shopping, because it is not getting what they want. The place where you are shopping  also very important. For example in HK all the areas have lots of people it won't let you feel good of the noise and times when you are shopping. Because have too many people it make you want to stay home  won't enjoy shopping. After I've written this composition, I think that you will enjoy shopping most of the time, but still have sometimes you won't. ",24.0
322," I'M WRITTING THIS LETTER BECAUSE TWO WEEKS AGO I WAS IN LONDON AND I WENT TO THE THEATRE TO SEE YOUR MUSICAL SHOW. AND FOR SEEING IT MY FAMILY HAD A VERY DISAPPOINTING EVENING AND SO DID I FOR IT YOU CAN READ BELOW MY POINT OF VIEW ABOUT IT. FIRST OF ALL, WE COULDN'T SEE THE FAMOUS ACTOR ""DANNY BROOK"" BECAUS HE WAS ILL . I THINK THAT ONLY FOR IT THE MUSICAL SHOW HAD TO HAVE BEING CANCELED. ON THE OTHER HAND WE THOUGHT  TO VISIT THE THEATRE RESTAURANT BUT IT WAS CLOSED BECAUSE THE MUSICAL SHOW DIDN'T BEGIN AT 19:30 AS WE COULD READ IN THE ADVERTISEMENT IT BEGAN AT 20:15. IN CONCLUSION AFTER OF ALL THESE MISTAKES THAT HAPPENED IN YOUR SHOW I ASK FOR ALL MY MONEY MUST BE RETURNED TO ME. PLEASE GET IN CONTACT WITH ME AS SOON AS POSSIBLE. YOURS FAITHFULLY  [SEP]  NOWDAYS THE MAJORITY OF PEOPLE HAVE A COMPUTER IN THEIR HOME AND SOMETIMES WE WONDER OURSELVES HOW WILL MODERN TECHNOLOGY CHANGE OUR DAILY LIFE. FROM MY POINT OF VIEW THE ANSWER IS OBVIOUSLY ""YES"". FROM OUR HOME WE CAN USE IT FOR DOING A LOT OF THINGS LIKE TO BUY FOOD; TO WORK, TO READ NEWSPAPERS AND MANY MORE THINGS. ALTHOUGH IT MAY BE BAD BECAUSE WE NEEDN'T TO GO OUT FOR DOING THE MAIN THINGS AND FOR IT WE DON'T KNOW NEW PEOPLE AND WITH THE TIME WE HAVE LESS CONTACT WITH THE PEOPLE. IN CONCLUSION I THINK THAT THE MODERN TECHNOLOGY WOULD BE BETTER IF WE KNEW HOW IT MUST BE USED TO. ",24.0
141," Dear Sir, I am writing to complain about the musical show ""Over the rainbow"" performed at ""The Circle Theatre"" on the 20th of May. To begin with, the show was supposed to start at 19:30 but, due to a ""technical problem"", as they said, it started at 20:15. However, it would not have been such a great problem if the show on the proved to be as good as they promised but it really was not worth seeing, especially because the first actor was not Danny Brook as we expected but an unknown, clearly an inexperienced young actor, named Tom Douglas. What is more, there were no discounts available for the ticket fees nor we had the opportunity to visit the theatre restaurant, as it was closed for mourning reasons. I am not satisfied with the service we received, I am therefore writing for a full refund and I expect to receive by post a cheque for £20. Yours faithfully,  [SEP]  LIKE BLIND SHEEP In the 21st century, people will all the wearing the same clothes, the same shoes, they will be buying the same accessories. We'll get out in the morning and find out that our neighbour wears our same jacket and he's boasting about a pair of shoes which are too similar to ours. The thing is we are too fashion conscious, too fussy about our appearance and we'll end up forking out for smart clothes only because the people next door are doing so!! The reason why we'll do this is that we need to be accepted by the elite group that decide who you must be and how you must behave. They make you think there's noting left to do but to surrender and do what you've been told to, like blind sheep. Anyway, I don't really mind what people will be wearing in 100 years' time. As for me the only thing I care for in the morning is that I don't have my socks mismatched! ",29.0
579," Dear Mrs H. Ryan I am writing with reference to your letter and I would like to give  some information which I have been asked . Because my course finishes at the end of June and I am going to work for a Hotel in August and September, I would like to travel in July. It is the best time for me. As far as accommodation is concern, I would like to say that I prefer to stay in tents. I like staying in tents because when we go on holiday with my friends, we always stay in tents, so I am used to staying in tents. Moreover, I have also been asked to choose some activities. I would like to choose basketball and swimming. When I was at school, I have been playing for the school team and I am good at swimming. Finally, could you let me know what sort of clothes would be better to bring. It would also be useful to know that how much money will be enough to bring. I look forward to hearing from you. Yours sincerely,  [SEP]  To: Mr. J. Y  Head Teacher From: Re: Short Video About Daily Life at I.S.O. School. FINDINGS I have discussed with my friends and school teachers about this subject. Here are some information about daily life at I.S.O. Morning Lessons: Although there are a lot of classes, there is  special FCE class in which students are being prepared for  FCE exam. There are special methods and materials for students. Afternoon Lessons: The aim of the afternoon lessons is to be able to give ability in speaking. There are some discussion groups, so students may have  discussion on any subject. Break Time: We have a lot of facilities for break time. These are computer, video, and sports. RECOMMONDATIONS In my opinion we should choose break time activities. Because there are a lot of activities which students take part in. It would be much better for video film. ",29.0
1016," 12.12.2000 Dear Mr Robertson, I am writing to ask permission to go to the London Fashion and Leisure Show. I would be very greatful if you could let us to go  the show. I would like to give you some details about the show that I saw  its advertisement yesterday. It is in the Central Exhibition Hall in London. It starts at 10.00 am and finishes  19.00 pm. The date of the show is on Tuesday  14th of March. It is  really great opportunity to go to the show when we are in London. We would like to go there because it is very popular nowadays. I've heard that  Leisure and sports wear, make up and hairstyles are really wonderful. It is also free for students. We all know that you organised everything. However, we can change the programme. Here are some suggestions that I would like to let you know. We have  free timer on Wednesday  15th of March in the afternoon so we can go to the Science Museum on Wednesday. We can also do  shopping quickly after sightseeing of London. I would be very pleased if you let us to go to the show. I also would like to say thank you for organising the good program for us. I look forward to hearing from you soon. Yours sincerely,  [SEP]  A DAY OF MY LIFE It was dangerous, but I knew I had to do it. That day, I got up early because I hadn't slept very well. I checked everything again and again. I was afraid of doing it but I had to do it. It was the first time I had robbed a bank. I was her best friend. I promised her  to find a money for her operation. She was at the hospital and she was really bad. That time, I couldn't imagine how my life would change. After I had had my breakfast I put my clothes on. I didn't want anybody to recognise me. Despite feeling really bad I left home. I got into my car and started it. When I arrived  the bank I got out of the car and went into the bank. I told everybody to lie down. They did it. I asked  cashier to give me all  money. Before I took  money one of the cashier had pressed a button to call a police. I quickly left  bank. However, it didn't take long that they caught me soon. The policeman arrested me and I stayed in a prison for 15 years. The worst thing was my friend died after 10 days I was arrested. ",25.00
109," 17, June 2000 The manager The Circle Theatre Sir, I returned very unhappy from my holidays. The reason is that the musical show that I had seen with my wife, first of all, started late. We bought tickets for the second show, that was at 19.30 and it started at 20:15! We were interested on see the actors that appeard on the tickets and I was very disappointed when, in the show, we saw another actors. The tickets were more expensive than we had expected, but we didn't care because we saw in the tickets that  will be discounts for it, but, they didn't make us discounts! With all this problems, the only thing that led us, was  to eat something. When the show finished we went to the theatre restaurant and it was closed because people didn't arrived to work that day. So it was the most badly evening that I had ever spend. I asked you to consider all my reasons and turned back my money, I think  is the only thing you can do. Thank you for your comprehension  [SEP]  Unfortunately, Pat wasn't very good at keeping secrets. It was saturday night, and I was, with my sister Pat alone in my home. That night I was invited to a great party, but I was punished, and I had to stayed at home with my sister. My parents were out for the weekend. When it was time to go to the party I decided to escape home without telling my sister, unfortunately when I arrived she was waiting  me in my room. When I enter my room she was very happy, because my father will punished me again, of course, she will tell him, but I decided to pay her if she beheaved quietly, she accepted and I payed her a lot of money. At sunday night, when my parents arrived, they asked her if I had stayed at home on saturday, my sister beheave silence for a minute and then started laughing; so my parents, with her laugh, know that I had go out that Saturday; and punished me for a year. ",22.0
827," Dear... Thanks for your letter. I am very happy that I have received the first prize in your competition. I am looking forward  my holy day  begins on  first of july  to twenty-first july so it is possible to take the travell in this time. I like to sleep in a tent under the free sky since I have done the military-service therfore I would prefer a tent as my accomodation. My favourite activity are swimming and singing. It is important for my health that I swim an hour a week because I am overwight. I like to singing a song when I am alone. Singing is good for my emotion. Also I choose singing and swimming as my activity. I am a beginner in swimming and also in singing. Can you say me which cloths I  take away  for  two weeks. Which kind of weather have you in this time . Do I need a lot of money etc. for  different excursions Thanks for your answer. Your sincerely  [SEP]  Shopping is not always enjoyable What does  means the world ""shopping""? I live and I need different goods for survive. I need material for drinking and eating, that is the basic fact that  I must go shopping for food. It is not enjoyable to see that the prize for food are going more and more higher. My salary are going lower than lower. When I have enough money the price isn't important, then I can buy a lot of goods whitout take care on my money. Despite I have enough money shopping is not always enjoyable too, because I don't know which goods I will buy in the future. Also I will buy goods which I don't need. There are many goods which quality is bad  in this way the environment pollution will be more and more increase. This is the fact that shopping is not enjoyable. ",22.0
201," Dear Sir or Madam. A few days ago I went to your theatre to see a musical show. Unfortunately I was very disappointed with it, I was expected  opposit. First of all the advertisement where you have advertised your program and what the theatre was providing for you is totaly wrong. A came to look at my favorit actors Danny Brook and Tina Truelove, but  whom I saw were another people. Another thing is that I took a particular amount of money to buy a tickets and when I apeared infrant of  casses I found out that the cost of  tickets on your advertisement and  real price wasn't the same,  real price was much higher. Also  show started very late compere to what was writen on the advertisement. And I think you know how it is just sit and wait for 45min. befor the beggining? So, after all of that, I wanted to have a nice relaxing diner in your restaurant, I was very angry when I apeared infrant of closed doors and there was a notice, that the restaurant wasn't working. In fact  writing to you just with one main reason. I'll be really delightful to resive back the money for my ticket. I'm looking forword  hearing from you. Faithfuly yours Lena Jarova  [SEP]  Begin at the begining. Look at  historical books  400-600 years ago, or even in  time of  First and Second World War,  how are sociaty changed, just because we did step up in the  science and technology. In one hand scientist discovered a lot of medisent from different illneses, but in an enother hand they discovered many illneses about which we haven't herd before. I think this side of the question is balanced because before  effect on our health was less than it is now. More and more people died from some illness wheres  long time ago less people died from  illneses, dispite that fact that they had less medisent. However technology nowerdays impoved so much and it changed our life a lot. Today we can't even think how we could possibly leave without computers or without airplanes. Computer it is our way of with  outside world comunicat, wheres with airplanes we can rich our parents, friends easily and much faster, then if we would  use bouts or trains. Everyday scientist and technologyst discover and produce more and more new things and it is good, it has to be like that, we have to do forword not behind from the point where we are now. Society has to go forword not to stop on one place. ",20.0
