,essays,labels
937," Dear Mrs. Helen Ryan: I've recived your letter and I'm very happy to know that I won the competition and the first prize. In answer to your questions, I will have to say that I just can go to the campament on July because of my job, they only gave me that month free. In the camp I would like to stay in  log cabins because I hate to sleep uncomfortable and, I will if I stay in a tent. Acording to your letter, you asked me to choose two of your activities. I  prefere to do some climbing because that's what I do in my spare time and I do it quite well. Apart from that, if you give surfing classes I would love to take them; surfing is one of my chilhood drems that I never came true. I have a few questions that you might be able to answer me. I don't know what tipe of clothes do I have to take and the amount of money that I'm going to spend, so if you please could help me  giving me this information I would be very pleased. Im looking forward to go to the camp and hearing from you soon Yours sincerely Carmen Garcia.  [SEP]  Shooping is not always enjoyable. We all have been shooping once in our lifes and sometimes it probably has not been very enjoyable, why? we had a class discussion and we all agree in some points. For example if we go to a big mall we will probably never find what we were looking for, and instead of buing what we came for we will go out with lots of things that we liked but we will never use. And that will be  waste of time. Sometimes we have to take our little brothers with us, because our mother isn't home, and then is where the problems begin. Most of the times one get lost, or they start plaing around, making noise, bothering people, etc... And when this happens you get on a bad mood and you'll have a bad shooping day. So if you want to have a good relaxing shooping day, we recommend you not to go with your little brothers and to go with enogh time to look arround for what you really want. ",26
1048," It was dangerous, but I knew I had to do it I knew, I would not come  this world again, everyone has only one change to do whatever they want I come from  very ruler family. You had never made on your  own decision, you always had to ask your family's opinion. I had always wanted to be a theatre actress. I was saving my pocket money to go to the theatre  age  15. During the this years I had met with Zuhal Olcoy. I had seen her every morning while I was going to school. Despite of  going to school by bus  easier than riding  bycyle I had prefered to going to school by bycyle to  by bus. In that way I had been able to see her every morning. The more seeing her I could, the more ambitious I became. At last I met wit her. She had invited me  her play to the theatre. When I went to her play to see, I  realy would love to be a actress. She was the only person who encourage me to be a actress. I had had a exam for  being theatre players without saying my family. Otherwise my father could kill me and not let me to go to school. I would never ever go to school again. Despite of the preparing  the exams, I had been continue  to my school regularly. Now I am a theatre actress. It was my dream I wish my dady ",7
346," Dear Mr. Smith, I am writting  you about an enjure that I had in your last musical  Circle Theatre. I went to see ""Over the rainbow"" last Saturday and I had a very disappointing evening. First of all, I was surpprising that Danny Brook and Tina Truelove did not played. Anybody told us why they wasn't there. I read on your advertisment in Friday's edition of the Times that the show should start at 19.30 but the representation started at 20.15. I was waitting 45 minutes for anything! I am  studiant and I didn't find any discount's ticket. I don't understand the problem between your advertisment and the reality. And finally, after the show, I wanted to drink a coffee but the theatre restaurant was closed! Like mentioned in the newspaper I didn't have a perfect evening out and I ask you to give me back my money. I am looking forward to hearing from you soon. Your sincerely  [SEP]  How has modern technology changed your daily life? My life change everyday with the modern technology. For exemple, if I don't have time to do my shopping after school because I have to do my homework, I am going on  Internet and ask for what I need. The day after I get everything at home by post. In my point of vue,  Internet is the most important discover of the 2000 centery. You can book tickets for  theatre, sport, etc., you can find all  informations you need for yourself. You have a lot of things to do, to see, to learn. It is too big to tell everybody about what you can do! I use  all the time Internet for my homework and in the futur, I hope, I will be able to use it for my own work. Technology will not stop to grow up and help people in the futur. I hope I will help them, I am sure I will! ",25
1140," Dear Mrs Brown, It would be a pleasure to us and to your husband to come at the party. All the students wanted to organise a surprise party for Mr Brown. Next Tuesday is his birthday. We would like you to come and if you can to help us in an important decision. Firstly, we should tell you that it is a surprise party. He must not learn about it subsequently you must not tell him. Secondly, the party will take place on Tuesday 16th of June at  College Canteen. We think the suitable time will be 3-6 p.m. You can come earlier, if you want. We would have junky food, some juices and drinks. Moreover, will come some teacher, of course all the students and the Principal. On the other hand, we do not know what to give him as a present. Can you help us? We want something that it would like him or  would be necessary. Please try to come and help us to this problem. We ar looking forward to your reply. Yours sincerely,  [SEP]  John said he had some good news to tell me. I am waiting  him to come. Suddenly the bell rings. I thought that  would be John and  was he. We had finished the exams two weeks ago and we were waiting for the results. The first good new was that we both had passed the exams. It was a wonderful new. Then we thought about going for swimming to discuss about some things. The second new was that he had found a job for the summer. He would go to work in a café. He would earn a lot of money, in addition they wanted an another person. As a result I had a work too. We had the greatest day. Then we had an idea! We would have much money from the work. At the end of the summer we are planning to visit a cousin who lives in Australia. We imagine that would be the best holidays in our life. ",25
916," June 13th, 2000 Dear Mrs. Ryan, I am writing concerning the journey I have won in your competition. First of all I will try to answer your questions. For me it is only possible to go to the USA in July. The reason for this is that I have to work in August and from September to June I have to go to school. I would prefer  long cabins and I hope that then I will have enough place for all the things I will carry with me. The activities you offer are really interesting. I would like to take part in a painting course and I would like to get to know how to handle a camera. Unfortunately, I do not have an own camera. In spite of this, I have got all  equipement I need for the activity painting and I am painting very well. Could you please tell me if I will need some extra money for the two activities. Secondly, I want to know if I should take any warm clothes with me. I am looking forward to hearing from you. Yours sincerely,  [SEP]  13th June 2000 Dear Kim, It was nice to hear from you recently. I am writing to tell you about my work at the pop concert. I went there a 10 o'clock in the morning. Then a young man told me what to do. First of all I had to carry all the bottles into the bar and later I helped some other people to get the instruments in the right position. It was really hard work. At one o'clock I had a break. At this time I promised  that I would never do this awful job again. The food was deligious and fortunately I do not had to pay for it. In the afternoon I was sitting around, waiting for the pop groups. Then at five o'clock my favourite band ""Tristania"" arrived. I talked to them and to many other groups that arrived later. In the end I was happy that I had done this job. It was really a wonderful day. I think it would be a good idea if we two did this job together the next year. Give my regards to your family. Best wishes, ",29
548," Cambridge 13.06.00 Dear Helen Ryan Competition Organiser I am glad to know about the news that I have received. It is a dream becames true and was really unexpected for me! I would like to travel on July because of it is more suitable for me. I think I will really enjoy  if I could stay in  tents it is going to be a new experience and looks exciting. About the activities while at the Camp I would like to enjoy swimming, not because I am good in it, just because I  keen on  and the other one is Photography. As I never did this in whole my life could you tell me if we have to do our own meals or I can find everything ready to eat there? If no, what do you sugest? The same question for clothes and money. How much  I have to get in my pocket? I hope has had your questions out of your mind. Yours sincerely  [SEP]  Cambridge 13.06.00 Dear friend Kim Last month, I enjoyed to help at a pop concert in Portugal. Everything were new for me. I had to (lyd) tidy up the place where they have to wait until their turn. The group asked me make sure that in the fridge they always could find a big variety of drinks including honey and lemon for  throat. Other thing I had to do is keep an eye in the towels, I mean, dried towels because as you know that country is too hot, especially for my liking, as they have to change the clothes and looks fresh; don't ask me why. The pop concert happened in a big stadium called ""Mararcanã"". I just did not enjoyed  when they were making the instruments work for the big day. But what I particularly liked was see and ask  autographs from the rest of the others groups. Don't be jealous, I will make a copy for you, OK? Love ",24
1144," Dear Mrs Brown, I am writing to give you information about Mr Brown's surprise party. First of all, the reason that we decided to do this party was because Mr Brown helped to the organisation of our trip to France. And we preciate  to not tell him about our party. Secondly, the party it is on Tuesday 16th pm at the College Canteen. As concerned the food, our mothers they will help about that. Also, the drinks we will take them from our canteen and there will be a group of mucisians for our entertainment. Moreover, at the party they will be come of course all the class, our teachers and the Principal at our school. Finally, I would like to ask you about our present. We should buy a book or a Cd player. I hope that  to have been of some help  you about the party. I look forward to seeing you there. Yours sincerely  [SEP]  It was Friday morning when I saw John and  said  me he had some good news to tell me. And it was real good news. It was about a job which I wanted very much. He also tell that I must be the next day at 7:00 p.m. in the company. All the night I did not sleeping at all. I was draw 6:30 p.m in the company. The executive calls me on the office, and he has show me my office. From, that day, every day I was gone to the office 30 minutes before. When I complete a month to this job my executive he tell to John to go to the office. I was surpised because I did not know what he wanted. When I went his wants to tell me that from the next month I will be his personal secratary and my salary it will be the double how  the previous. I cannot believe it. Now, my life it is in the best way it would be thought about. And every day when I wake up I think that I live in the dream which I never want to finish. ",22
912," Dear Madame Helen Ryan Competition Organiser I've just received your letter and I thank you very much indeed for that. I didn't expect to win the first prize in your competition, I am very happy. It was always my dream to spend two weeks at Camp California in the U.S.A. Now it's become a reality. If I can choose the period, I would like to travel only in July because in other months I have a lot of thing to do. As accommnodation at Camp California, I would prefer to stay in  log cabins because I think it is safier than in a tent. I've red that I will have a chance to do two extra activities while I will be at Camp. I think it would be a good idea to practise my photography, because I'm not so good a photographer and I would like to learn swimming as I can't do it. Taking part in these two activities would be very useful for me. There is another thing I would  know, what kind of clothes have I bring with me? And how much money can I take with me? I'm looking forward to hearing from you. Your sincerely -  [SEP]  Shopping is not always enjoyable. This is true. Some days ago my class had a big discussion about shopping. In that occasion I hadn't the opportunity for giving my opinion about this task. Now, my English teacher has asked me to explane all what I think. In my opinion, nowdays, shopping is very easy and in the same time very hard. It is very easy because there are a lot of things to buy, shops are plenty of every kinds of things. You can chose the price more suitable for you. Choosing from a lot of things and choosing the prices too are very enjoyable for me. Shopping is not enjoyable when you have not enough money to buy what you want, or when you are not sure about what you would like to buy. I remember very well two people who thought very different about shopping. My grandmother thought that shopping was a terrible thing, she hadn't enough money to buy even the bread. My mother, whereas was very keen on shopping  everything. ",28
915," Dear Helen RYAN, I'm the winner of the first prize in your competion and I'm writing to you to give  some information which was required for you. Your first question was about when I'd like to travel. Well, it's only possible in July because of the University's holiday (during the rest of the year I'm attending to the classes). If I can choose  accommodation I  prefer  log cabins, because when I've been in Camps , it always has been in tents, then I'd like to change and try this other kind of accommodation. It's really difficult choose two activities from that list. Everyone are very interesting. Anyway, I think Basketball could be the right  because it's the sport that I'm practising from I was a child and photography because it's my hobby on my free time, I'm really enjoy it and I can say I'm so good in it. I was wondering which kind of clothes we need and what about money and meals, Are they provided? or can we find some places to buy it? I suppose it's everything that you need from me. Any other question don't hesitate to ask me. I'm looking forward to hearing from you, again. Yours faithfully,  [SEP]  SHOPPING IS NOT ALWAYS ENJOYABLE. I think shopping is a subject really up to date. I can say that nowadays  is growing up very quickly in our society like a kind of sport or hobby to waste or spend the free time. And it's creating a lot of adict people, call ""shopalcoholics"". Otherwise shopping is not always enjoyable. You can spend hours and hours going shopping and not find what you were looking for, perhaps because it is not  your size or the colour that you like, or just nothing is suitable to you. Another common problem could be the long queue in the fitting rooms waiting stand up for your turn. After that,  the unfriendly and sometime's unpolite shop assistance who breaks your nerves down. But never mind! the worst arrive when you get at home in the evening and find a chair to sit  because your feet are killing you and  realize you have spent all the money without buying the stuff that you need to cook tonight. ",29
131," Dear Sir or Madam, I am writing to complain about a musical show, which I have seen in your theatre, in London during my holiday. According to the advertisement, which appeared in one of the London's newspapers, I would like to present you  some of my complaines about your musical spectacle. Firstly, I would like to say that the cast, which you ""offered"" has been changed. The man who played the main male role was different than this one, who was mentioned in the advertisement. Secondly, the time when your musical should start has been changed, making your show delayed for nearlly one hour! In your offer I noticed an information about discounts which were supposed to be available - no, they were not! Another ""defect"" in the advertisement was an ""invitation"" to the restaurant after the show. For unknown for me reasons, I found the restaurant closed (there was no information telling about a cause of closing it). Finally, you guaranteed ""a perfect evening out"", but for me it was the worst visit in  theatre in two years time. To sum up, I am very disappointed about the musical in your theatre. Neither  beautiful surranding near your theatre nor  comfortable sits will not recompansate  my horrible evening. Therefore, I would like you to send my money back, because I think I deserve it as a viewer. I look forward to hearing from you. Yours faithfully,  [SEP]  Technology is very important in our life. Mainly, because it makes it easier and more comfortable. Nevertheless it has some advantages and drawbacks. In my opinion my daily life is full of modern technology. I meet her ""at every corner"": at home, at school, in the backyard and so on. It also changed my life-style for  better - I think. Every morning I use a toaster to have my sandwiches done,  washing machine which makes my clothes clean again. Recently, modern technology means: mobile phones, computers,  internet, super-fast cars etc. These improvements helps me with my ordinary dutes. I can do my homework on  computer, prepare for the class test by searching  information in  Internet and use a mobile phone every time when I want to connect with one of my parents. However, technology has a bad influence on us, generally on our healf. Couple of months ago, some foreign scientists noticed that mobile phones make a possibility of getting sick with cancer. Also fast and well-improved car increase a risk of pollution of our air and mainly lead to very dangerous accidents. In conclusion I think that modern technology makes our life easier, nevertheless, we should avoid any possible risks connected with these improvements. Then we will be able to say that technology is something we should be proud of. ",29
572," At the begining I would like to thank you. Now I am going to give you some further informations I would like to travel only in July because I am a student in High school and this is  most important year of my life I am studying to  university entrance exams and I have to study until the end of June and then by the end of June I will be having  university entrance exam  after that in July I am going to be alright. I would prefer  tents because I have never stay in  tents before and I am wondering how it is going to be like And among these activities I am choosing basketball and swimming. Basketball because I am very good at it, swimming because I like to swim very much but I'm not a very good swimmer. And finally I would like to ask you some questions. My first question is about clothes; what kind of clothes do we need to take with us? and How much money do we need to take? Finally what kind of wheather is waiting for us? Thank you for Every thing Your sincerely Osman ",13
560," To Whom It May Concern, I'd like to say thank you for choosing me and sending me the letter. I am extremely excited about the camp! For the camp, you need some information from me, don't you? Therefore I am going to write them down. First, I'd like to travel on July because my friend, who is French, is coming to Toronto on August. Therefore, I'd like to show her around and spend time with her as much as possible. Second, I prefer log cabins than tents. The reason is that the camp will be two weeks and log cabins are more comfortable than tents. However, if the log cabins are not available at the moment, I can stay in the tents. Third, I'd like to choose painting and surfing for the activities. Because I've started surfing since 1998 and I'm keen on surfing. Also, painting is one of my favorite things! And I always wanted to learn how to paint. Lastly, I'd like to ask you some questions. I know everything is included and I don't need to pay anything but in case should I bring some money or not? And if I need to bring some money could you suggest me the amount? Also, could you suggest me what kind of clothes I should bring, please? Thank you very much for reading this letter. I really appreciate your choosing me. I am really looking forward  this camp. Thank you. Truly, Yoshiko Murasaki  [SEP]  Dear Kim, Hi! How are you? I'm fine, thanks. Anyway, I really enjoyed helpying at a pop concert last month so that I'd like to write them down! First, we went to this office to apply for this job. The interview was OK and my friend and I was hired! Then, the day of the concert came! Can you imagine how excited we were? Our heart was bumping and we were kind of nervous, however, there were a lot of things to do so we started working. After working 30 minute, a singer appeared. While we were organizing the concert, she was singing on a stage. We could listen for free! I just imagined what it was like to be a singer. If only I could sing beautifully! Anyway, by the time we finished everything, thusands of funs came in this concert hall. Everybody looked very excited about the concert. During the concert, we had to stand to protect this singer. We saw some very strange fans but most of them were quite nice. Actually, they were well-behaved. Finally, the concert finished and we were thanked by this singer. Also, we got some posteres as well. It was a great experience for me and my friend. I wish you were there with us! Maybe next time! By the way, I think I should go. Please take care and please write to me, right? Love, Yoshiko. ",36
1039," Dear Mr Robertson, I'm writing to you to thank you for the programme you have organised. All  students are very pleased and we are looking forward to go to London. We know we are going for  three days, but we'll have enough time to use one of the bigger city in the world. London is the place to be when  always something happening. We  all very happy with your programme, especially we like the idea of  sightseeing by our and  National Art Gallery. The students in my class have seen an advertisement for the London Fashion and Leisure Show,  we would like to ask you if  is possible to make some changes in the programme? The show is on Tuesday the 14th between 10.00-  13.00. We think  is the great opportunity to see  latest fashion,  find  about make up and hairstyles. And all of it is free, According to your programme we have the science Museum which is in the morning and then shopping. Would it be possible to go to the Museum and then  for the shopping in our free time which is on Wednesday? All  students will be very greatful . your sincerly  [SEP]  I think for all of us home is something which is a very important. Home sweet home. We call home the place where we live or the country where we come frome. Anyway home is always the place to go because  is ours we feel save and comfortable . Home sweet home. After hard work we want to go home to have our corner where we are all able to rest and relax. I think in the future home might be just the place to go to sleep. We live in the very busy world! Working long hours, doing plenty of activieties, going out, going on holidays. We even don't spend time with  families. Propably in the future we might be to busy to go to our own home and spend some time there. But in the end of the day it alway will be  place to go! We find our family there and our life. Some of us have been living in  one house since they were born. We are sentimental and we have memory from the past. I think it's a part of our life.lf ",29
